kingdom,year,n
Viruses,2009,11096
Protozoa,2002,2787
Viruses,1994,904
Viruses,1986,635
Viruses,1969,37
Viruses,1972,49
Viruses,1975,560
Viruses,1979,466
Viruses,1991,284
Viruses,1961,24
Viruses,1992,202
Viruses,1982,578
Viruses,1987,546
Viruses,1989,315
incertae sedis,1888,221
Viruses,1965,47
Protozoa,1997,397
Viruses,1956,13
Viruses,1980,381
Viruses,1966,76
Viruses,1988,588
Viruses,1964,52
Viruses,1960,17
Viruses,1976,1017
Viruses,1962,15
Viruses,1973,21
Viruses,1952,11
Viruses,1970,14
Bacteria,1976,95
Bacteria,1978,132
Bacteria,1970,87
Viruses,1985,362
Viruses,1981,373
Viruses,1957,11
Viruses,1942,9
Viruses,1935,11
Viruses,1968,34
Viruses,1953,5
Archaea,2006,2114
Viruses,1967,30
Archaea,2007,545
Protozoa,1959,317
Animalia,1819,146
Animalia,1818,10208
Animalia,1805,10
Chromista,1958,2386
Viruses,1933,4
Viruses,1927,7
Viruses,1931,11
Viruses,1948,14
Viruses,1941,3
Viruses,1946,6
Viruses,1959,5
Viruses,1955,6
Plantae,1700,33
Plantae,1804,40
Plantae,1808,43
Chromista,1873,174
Chromista,1942,388
Bacteria,1904,145
Protozoa,1918,104
Bacteria,1846,1
Bacteria,1913,23
Bacteria,1877,29
incertae sedis,1800,159
Bacteria,1926,26
Protozoa,1950,744
Fungi,1859,196
Fungi,1869,271
Bacteria,1888,27
Bacteria,1917,51
Bacteria,1927,22
Animalia,1764,1
Protozoa,1953,95
Protozoa,1905,143
Protozoa,1922,240
Protozoa,1958,262
Protozoa,1955,86
Fungi,1873,213
Protozoa,1944,153
Protozoa,1913,115
Viruses,1949,2
Protozoa,1963,474
Fungi,1860,101
Protozoa,1884,27
Chromista,1887,245
Chromista,1838,14
Chromista,1870,8
Chromista,1869,12
Chromista,1911,334
Protozoa,1960,397
incertae sedis,1835,4
incertae sedis,1845,35
incertae sedis,1865,59
incertae sedis,1867,75
incertae sedis,1855,21
incertae sedis,1862,15
incertae sedis,1863,28
incertae sedis,1866,25
incertae sedis,1843,13
Plantae,1791,24
Plantae,1794,29
Bacteria,1880,11
Fungi,1842,527
Animalia,1797,8
Plantae,1796,1
Animalia,1770,11
Plantae,1798,9
Chromista,1943,198
Bacteria,1923,33
Bacteria,1912,39
Fungi,1844,66
Protozoa,1901,345
Protozoa,1945,161
Protozoa,1889,402
Archaea,2008,2279
Viruses,1947,4
Protozoa,1943,148
Chromista,1879,67
Fungi,1811,8
Chromista,1850,143
Chromista,1853,3
Chromista,1880,124
Protozoa,1942,172
Bacteria,1850,3
Chromista,1878,57
Protozoa,1910,198
Fungi,1812,3
Protozoa,1923,252
Protozoa,1902,169
Chromista,1861,4
Fungi,1829,15
Chromista,1858,23
Plantae,1722,1
Fungi,1840,50
Fungi,1826,12
Fungi,1833,6
Animalia,1827,15
Chromista,1829,2
Chromista,1846,25
Bacteria,1854,1
Bacteria,1929,93
Viruses,1930,3
Archaea,2005,479
Plantae,1790,3
Plantae,1813,35
Plantae,1783,14
Fungi,1846,34
Plantae,1786,11
Chromista,1857,12
Protozoa,1904,111
Chromista,1877,37
Bacteria,1866,1
Plantae,1805,54
Animalia,1804,10
Animalia,1665,1
Protozoa,1907,88
Fungi,1787,2
Bacteria,1885,8
Fungi,1820,5
Plantae,1764,11
Protozoa,1876,9
Protozoa,1880,36
Viruses,NA,37
Animalia,1815,51
Animalia,1823,23
Fungi,1845,24
Protozoa,1885,117
Fungi,1862,89
Protozoa,1883,50
Protozoa,1877,11
Fungi,1832,4
Protozoa,1908,180
Protozoa,1903,109
Protozoa,1882,18
Animalia,1707,7
Animalia,1633,4
Protozoa,1948,141
Chromista,1843,3
Plantae,1793,11
Fungi,1828,15
Protozoa,1851,2
Protozoa,1849,5
Fungi,1805,10
Archaea,2009,373
Archaea,1979,15
Archaea,2017,678
Archaea,1999,1
Chromista,1800,47
Plantae,1651,2
incertae sedis,1840,23
Chromista,1851,7
Bacteria,1875,37
Fungi,1841,42
Chromista,1841,6
Protozoa,1874,12
Archaea,2021,1
Protozoa,1879,13
Protozoa,1873,6
Animalia,1785,1
Animalia,1743,1
Plantae,1766,3
Animalia,1653,1
Plantae,1660,1
Plantae,1801,49
Animalia,1680,1
Fungi,1819,7
Fungi,1806,4
Protozoa,1828,1
Plantae,1723,2
Plantae,1706,1
Archaea,2004,420
Plantae,1658,2
Plantae,1695,1
Plantae,1737,1
Plantae,1776,2
Animalia,1750,10
incertae sedis,1856,12
Plantae,1775,2
Fungi,1800,4786
Chromista,1812,13
Bacteria,1812,1
incertae sedis,1812,1
Chromista,1849,18
Protozoa,1850,3
Chromista,1828,4
Animalia,1695,1
Plantae,1767,3
Fungi,1801,7
incertae sedis,1818,1
Bacteria,1805,1
Archaea,1983,1
Bacteria,1922,11
Animalia,1792,2
Plantae,1780,3
Plantae,1778,5
Archaea,2019,6
incertae sedis,1838,4
Plantae,1748,365
Fungi,1612,1
incertae sedis,1748,2
incertae sedis,1822,1
Plantae,1698,4
Chromista,1844,6
Fungi,1809,3
Bacteria,1828,1
Plantae,1734,10
Chromista,1830,6
Chromista,1832,1
Animalia,1771,7
Animalia,1808,7
Animalia,1790,3
Bacteria,1874,9
Chromista,1859,8
Chromista,1863,7
Archaea,2018,82
Archaea,2002,52
Archaea,2001,13
Archaea,2003,402
Protozoa,1857,1
Protozoa,1868,4
Viruses,1958,7
incertae sedis,1787,1
incertae sedis,1844,11
Chromista,1845,8
Chromista,1855,2
Chromista,1847,12
Chromista,1868,2
Fungi,1830,36
incertae sedis,1808,3
Fungi,1823,8
Chromista,1854,9
Protozoa,1825,2
Fungi,1824,2
Fungi,1834,9
Fungi,1817,2
Fungi,1818,2
Plantae,1769,5
Plantae,1730,1
Plantae,1799,4
Fungi,1810,4
Bacteria,1847,1
incertae sedis,1825,2
Protozoa,1866,2
incertae sedis,1816,1
Chromista,1834,3
Chromista,1852,7
Protozoa,1855,5
Fungi,1814,2
Protozoa,1878,10
Protozoa,1806,1
Bacteria,1871,5
Fungi,1825,6
Bacteria,1873,2
Animalia,1793,6
Chromista,1848,3
Animalia,1717,2
Fungi,1831,4
Chromista,1867,3
Fungi,1807,2
Animalia,1806,5
Animalia,1801,7
Plantae,1740,1
Chromista,1690,2
Animalia,1799,1
Animalia,1796,21
Fungi,1808,6
Plantae,1795,4
Chromista,1839,2
incertae sedis,1820,2
incertae sedis,1819,1
Fungi,1827,3
Chromista,1840,1
Chromista,1866,3
Plantae,1765,6
Animalia,1737,1
Animalia,1789,4
Plantae,1602,1
Protozoa,1852,2
Protozoa,1848,1
Chromista,1819,1
Fungi,1784,1
Viruses,1954,5
Protozoa,1869,4
Archaea,2020,2
Plantae,1727,1
Animalia,1755,2
Animalia,1778,1
Animalia,1759,2
Plantae,1771,2
Archaea,1996,6
Archaea,1994,6
Archaea,1992,8
Bacteria,1808,1
Plantae,1696,2
Animalia,1719,1
Animalia,1757,1
Chromista,1815,1
Chromista,1842,1
Animalia,1656,4
Plantae,1784,14
Fungi,1789,3
Archaea,1997,8
Animalia,1813,4
incertae sedis,1778,1
Viruses,1943,3
Fungi,1816,2
Fungi,1822,4
Animalia,1803,2
Plantae,1742,6
incertae sedis,1839,3
Fungi,1815,4
Fungi,1794,1
Plantae,1697,2
incertae sedis,1801,3
Plantae,1758,1
Fungi,1803,2
Fungi,1802,1
incertae sedis,1809,1
Fungi,1786,1
Animalia,1658,1
Protozoa,1815,2
Bacteria,1867,3
Animalia,1724,1
Chromista,1831,4
Viruses,1945,1
Plantae,1773,2
Plantae,1630,1
Protozoa,1856,3
Animalia,1716,1
Animalia,1760,1
Animalia,1648,1
Viruses,1944,4
Fungi,1693,1
Chromista,1818,1
incertae sedis,1834,4
Protozoa,1867,1
Chromista,1833,3
Viruses,1934,2
Protozoa,1854,1
Protozoa,1870,6
Animalia,1712,1
Plantae,1753,1
Animalia,1706,2
Protozoa,1853,4
Plantae,1746,1
Animalia,1601,1
Animalia,1701,1
Archaea,1991,4
Archaea,1982,1
Plantae,1703,1
Plantae,1701,1
Viruses,1902,1
Viruses,1905,2
Viruses,1940,2
Plantae,1772,1
Fungi,1804,1
Protozoa,1847,1
Protozoa,1826,1
Plantae,1694,1
Plantae,1632,1
Fungi,1783,1
Protozoa,1864,1
Plantae,1646,2
Animalia,1668,1
Plantae,1705,2
Fungi,1821,1
Animalia,1775,1
Plantae,1750,1
Bacteria,1868,2
Plantae,1777,2
Animalia,1766,1
Animalia,1782,1
Plantae,1774,1
Plantae,1760,1
Viruses,1950,5
Animalia,1786,1
Chromista,1827,2
Plantae,1690,1
incertae sedis,1829,1
Protozoa,1838,2
Fungi,1776,2
Viruses,1900,1
Animalia,1779,2
Animalia,1605,1
Animalia,1763,1
Fungi,1747,1
Fungi,1792,2
Plantae,1744,1
Plantae,1619,1
Archaea,1966,1
Fungi,1697,1
Protozoa,1833,1
Bacteria,1843,1
incertae sedis,1813,1
incertae sedis,1833,2
Protozoa,1863,2
Protozoa,1871,2
Protozoa,1823,1
Protozoa,1691,1
Protozoa,1692,1
Protozoa,1776,1
Plantae,1736,1
Fungi,1601,1
incertae sedis,1836,1
Chromista,1663,3
Animalia,1744,1
Animalia,1620,1
Protozoa,1860,1
Animalia,1655,442
incertae sedis,1655,10
