kingdom,year,n
Animalia,1918,61152
Animalia,1915,85978
Animalia,1927,105761
Animalia,1865,1363
Animalia,1868,2507
Animalia,1909,70074
Animalia,1901,41949
Animalia,1904,53943
Animalia,1911,75825
Animalia,1882,13742
Animalia,1898,37459
Animalia,1917,88480
Animalia,1908,62146
Animalia,1885,39470
Animalia,1900,67866
Animalia,1906,54905
Animalia,1919,82425
Chromista,2013,28988
Viruses,2021,4075
Protozoa,2013,1718
Fungi,2007,48599
Protozoa,2015,6534
Bacteria,2022,1156
Fungi,1982,12274
Fungi,2003,20177
Protozoa,2012,3173
Bacteria,2018,42907
Bacteria,2021,4589
Viruses,2016,16941
Fungi,2002,11865
Animalia,1857,915
Animalia,1913,73651
Animalia,1845,365
Animalia,1905,67683
Animalia,1903,53016
Animalia,1902,51026
Animalia,1877,10662
Animalia,1883,16464
Animalia,1873,10228
Animalia,1914,85336
Animalia,1894,53381
Animalia,1880,19459
Animalia,1907,65723
Animalia,1897,47207
Animalia,1916,93220
Animalia,1871,6427
incertae sedis,1929,768
Animalia,1899,40844
Animalia,1888,33864
Animalia,1924,77483
Animalia,1893,42276
incertae sedis,1991,11617
Animalia,1884,28485
incertae sedis,1976,5897
incertae sedis,1926,804
incertae sedis,1918,278
incertae sedis,1917,724
incertae sedis,1927,760
Animalia,1881,15057
incertae sedis,1940,2020
incertae sedis,1981,3807
Animalia,1876,8127
Animalia,1875,8817
Animalia,1844,230
Animalia,1878,13057
Plantae,1907,56501
Plantae,1906,56790
Plantae,1852,3614
Plantae,1846,3481
Plantae,1898,77044
Plantae,1900,69508
Plantae,1890,35175
Plantae,1913,68030
Plantae,1929,78114
Plantae,1909,66790
Plantae,1893,59881
Fungi,1975,15296
Plantae,1841,1615
Plantae,1916,79456
Plantae,1897,90496
Plantae,1912,56191
Plantae,1904,59176
Plantae,1911,58305
Plantae,1915,72851
Plantae,1883,22185
Plantae,1851,6692
Plantae,1895,74760
Plantae,1881,25395
Plantae,1885,23616
Plantae,1899,68995
Plantae,1901,77896
Plantae,1902,88031
Plantae,1866,9253
Plantae,1879,23762
Plantae,1839,1689
Plantae,1943,49554
Plantae,1942,75575
Plantae,1958,119288
Plantae,1919,63036
Plantae,1896,75163
Plantae,1892,68318
Plantae,1941,129613
Plantae,1921,51116
Plantae,1850,4831
Plantae,1884,29948
Plantae,1877,20355
Plantae,1903,84922
Plantae,1918,41544
Plantae,1880,26510
Plantae,1908,65128
Plantae,1922,50357
Plantae,1882,30602
Plantae,1868,10493
Plantae,1888,24565
Plantae,1859,2633
Plantae,1858,4292
Plantae,1894,73165
Plantae,1876,13261
Plantae,1920,59355
Plantae,1960,111763
Plantae,1910,65268
Plantae,1946,99309
Plantae,1905,58619
Plantae,1889,30559
Plantae,1947,104860
Plantae,1914,59871
Plantae,1832,1494
Plantae,1844,1877
Plantae,1855,2051
Plantae,1886,22166
Plantae,1944,67247
Plantae,1887,22238
Plantae,1834,1280
Plantae,1872,11912
Plantae,1812,193
Plantae,1945,80427
Plantae,1842,3425
Plantae,1860,4459
Plantae,1917,57278
Plantae,1865,7779
Plantae,1878,24524
Plantae,1840,2377
Plantae,1874,13911
Plantae,1862,7102
Plantae,1847,4515
Plantae,1835,1549
Plantae,1873,14604
Plantae,1867,7097
Plantae,1845,3242
Plantae,1836,900
Plantae,1838,2366
Plantae,1871,9956
Plantae,1869,7374
Plantae,1837,1498
Plantae,1864,5236
Plantae,1848,1856
Plantae,1853,3425
Plantae,1833,1441
Fungi,1968,17229
Plantae,1829,962
Plantae,1863,4634
Plantae,1854,1798
Plantae,1831,596
Plantae,1792,68
Plantae,1861,5555
Plantae,1819,211
Plantae,1826,334
Plantae,1857,2164
Plantae,1827,372
Fungi,1980,13595
Plantae,1856,1468
Fungi,1960,19466
Plantae,1843,2935
Plantae,1830,481
Plantae,1828,1088
Plantae,1870,5647
Plantae,1806,70
Plantae,1809,94
incertae sedis,1903,726
Animalia,1886,30778
Animalia,1879,13719
Animalia,1872,5871
incertae sedis,1930,2588
incertae sedis,1979,2545
incertae sedis,1924,771
Fungi,1994,17182
Viruses,2020,6401
